propinsi,tahun,kelamin,jumlah
DI Yogyakarta,2015,P,1860.4
DI Yogyakarta,2020,L,1921.6
DI Yogyakarta,2020,P,1960.7
DI Yogyakarta,2025,L,2013.2
DI Yogyakarta,2025,P,2051.4
DI Yogyakarta,2030,L,2090.7
DI Yogyakarta,2030,P,2129.5
DI Yogyakarta,2035,L,2153.8
DI Yogyakarta,2035,P,2194.7
Jawa Timur,2010,L,18512.6
Jawa Timur,2010,P,19053.2
Jawa Timur,2015,L,19172.4
Jawa Timur,2015,P,19675.2
Jawa Timur,2020,L,19693.8
Jawa Timur,2020,P,20192.5
Jawa Timur,2025,L,20061.7
Jawa Timur,2025,P,20584.4
Jawa Timur,2030,L,20255.6
Jawa Timur,2030,P,20821.7
Jawa Timur,2035,L,20256
Jawa Timur,2035,P,20871.7
Banten,2010,L,5458.5
Banten,2010,P,5230.1
Banten,2015,L,6097.1
Banten,2015,P,5858.1
Banten,2020,L,6700.1
Banten,2020,P,6460.4
Banten,2025,L,7238
Banten,2025,P,7011
Banten,2030,L,7701
Banten,2030,P,7500.8
Banten,2035,L,8097.6
Banten,2035,P,7935.5
Bali,2010,L,1966.2
Bali,2010,P,1941.2
Bali,2015,L,2091
Bali,2015,P,2061.8
Bali,2020,L,2206.2
Bali,2020,P,2174.6
Bali,2025,L,2309.2
Bali,2025,P,2276.8
Bali,2030,L,2398.5
Bali,2030,P,2366.9
Bali,2035,L,2471.1
Bali,2035,P,2441.3
Nusa Tenggara Barat,2010,L,2187.4
Nusa Tenggara Barat,2010,P,2328.7
Nusa Tenggara Barat,2015,L,2345.8
Nusa Tenggara Barat,2015,P,2489.8
Nusa Tenggara Barat,2020,L,2488.8
Nusa Tenggara Barat,2020,P,2636.8
Nusa Tenggara Barat,2025,L,2611.2
Nusa Tenggara Barat,2025,P,2764.4
Nusa Tenggara Barat,2030,L,2712.7
Nusa Tenggara Barat,2030,P,2871.1
Nusa Tenggara Barat,2035,L,2795.9
Nusa Tenggara Barat,2035,P,2958.3
Nusa Tenggara Timur,2010,L,2333
Nusa Tenggara Timur,2010,P,2373.2
Nusa Tenggara Timur,2015,L,2536.9
Nusa Tenggara Timur,2015,P,2583.2
Nusa Tenggara Timur,2020,L,2744.2
Nusa Tenggara Timur,2020,P,2797.2
Nusa Tenggara Timur,2025,L,2955.2
Nusa Tenggara Timur,2025,P,3015.6
Nusa Tenggara Timur,2030,L,3167.4
Nusa Tenggara Timur,2030,P,3234.8
Nusa Tenggara Timur,2035,L,3377.8
Nusa Tenggara Timur,2035,P,3451.3
Kalimantan Barat,2010,L,2251.8
Kalimantan Barat,2010,P,2159.6
Kalimantan Barat,2015,L,2439.9
Kalimantan Barat,2015,P,2349.7
Kalimantan Barat,2020,L,2610.5
Kalimantan Barat,2020,P,2524.3
Kalimantan Barat,2025,L,2756
Kalimantan Barat,2025,P,2676.6
Kalimantan Barat,2030,L,2874.6
Kalimantan Barat,2030,P,2804.6
Kalimantan Barat,2035,L,2968.7
Kalimantan Barat,2035,P,2909.4
Kalimantan Tengah,2010,L,1156.3
Kalimantan Tengah,2010,P,1064.5
Kalimantan Tengah,2015,L,1302.8
Kalimantan Tengah,2015,P,1192.2
Kalimantan Tengah,2020,L,1449.3
Kalimantan Tengah,2020,P,1319.9
Kalimantan Tengah,2025,L,1589.1
Kalimantan Tengah,2025,P,1441.9
Kalimantan Tengah,2030,L,1718.5
Kalimantan Tengah,2030,P,1555.1
Kalimantan Tengah,2035,L,1836
Kalimantan Tengah,2035,P,1658.5
Kalimantan Selatan,2010,L,1841
Kalimantan Selatan,2010,P,1801.6
Kalimantan Selatan,2015,L,2022
Kalimantan Selatan,2015,P,1967.8
Kalimantan Selatan,2020,L,2184.7
Kalimantan Selatan,2020,P,2119.3
Kalimantan Selatan,2025,L,2325.5
Kalimantan Selatan,2025,P,2252.8
Kalimantan Selatan,2030,L,2445.5
Kalimantan Selatan,2030,P,2368.7
Kalimantan Selatan,2035,L,2547.5
Kalimantan Selatan,2035,P,2468.8
Kalimantan Timur,2010,L,1880.5
Kalimantan Timur,2010,P,1695.6
Kalimantan Timur,2015,L,2138.1
Kalimantan Timur,2015,P,1930.5
Kalimantan Timur,2020,L,2395.4
Kalimantan Timur,2020,P,2166.3
Kalimantan Timur,2025,L,2644
Kalimantan Timur,2025,P,2396.7
Kalimantan Timur,2030,L,2879.3
Kalimantan Timur,2030,P,2617.7
Kalimantan Timur,2035,L,3100.5
Kalimantan Timur,2035,P,2828.7
Sulawesi Utara,2010,L,1161.5
Sulawesi Utara,2010,P,1116.2
Sulawesi Utara,2015,L,1230.8
Sulawesi Utara,2015,P,1181.3
Sulawesi Utara,2020,L,1289.7
Sulawesi Utara,2020,P,1239.1
Sulawesi Utara,2025,L,1336.7
Sulawesi Utara,2025,P,1287.6
Sulawesi Utara,2030,L,1370.8
Sulawesi Utara,2030,P,1325.3
Sulawesi Utara,2035,L,1392.2
Sulawesi Utara,2035,P,1351.5
Sulawesi Tengah,2010,L,1354
Sulawesi Tengah,2010,P,1292
Sulawesi Tengah,2015,L,1469.6
Sulawesi Tengah,2015,P,1407.1
Sulawesi Tengah,2020,L,1579.7
Sulawesi Tengah,2020,P,1517.3
Sulawesi Tengah,2025,L,1680
Sulawesi Tengah,2025,P,1619.5
Sulawesi Tengah,2030,L,1769
Sulawesi Tengah,2030,P,1711.6
Sulawesi Tengah,2035,L,1847
Sulawesi Tengah,2035,P,1793.8
Sulawesi Selatan,2010,L,3929.4
Sulawesi Selatan,2010,P,4131
Sulawesi Selatan,2015,L,4161
Sulawesi Selatan,2015,P,4359.3
Sulawesi Selatan,2020,L,4364.6
Sulawesi Selatan,2020,P,4563.4
Sulawesi Selatan,2025,L,4531.3
Sulawesi Selatan,2025,P,4734.2
Sulawesi Selatan,2030,L,4655.9
Sulawesi Selatan,2030,P,4865.8
Sulawesi Selatan,2035,L,4738.9
Sulawesi Selatan,2035,P,4957.1
Sulawesi Tenggara,2010,L,1125.3
Sulawesi Tenggara,2010,P,1118.3
Sulawesi Tenggara,2015,L,1256
Sulawesi Tenggara,2015,P,1243.5
Sulawesi Tenggara,2020,L,1386.6
Sulawesi Tenggara,2020,P,1369
Sulawesi Tenggara,2025,L,1512.3
Sulawesi Tenggara,2025,P,1490.7
Sulawesi Tenggara,2030,L,1631.2
